Title,Description
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight,"When the menace known as the Joker emerges, Batman must accept one of the greatest psychological tests of his ability to fight injustice."
Pulp Fiction,"The lives of two mob hitmen, a boxer, and others intertwine in a tale of violence and redemption."
Forrest Gump,"The presidencies of Kennedy and Johnson, the Vietnam War, and other events unfold through the perspective of an Alabama man."
Inception,A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
Fight Club,An office worker and a soapmaker form an underground fight club that evolves into much more.
The Matrix,A computer hacker learns about the true nature of his reality and his role in the war against its controllers.
Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife and mob partners."
The Lord of the Rings: The Return of the King,Gondor's army prepares for battle as Frodo nears Mount Doom to destroy the One Ring.
The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda."
Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.
The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Schindler's List,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce."
The Lion King,Lion cub Simba flees after his father's murder but returns to claim the throne.
The Silence of the Lambs,A young FBI cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer.
Se7en,Two detectives hunt a serial killer who uses the seven deadly sins as his motives.
Avengers: Endgame,"After the devastating events of Infinity War, the Avengers assemble once more to undo Thanos' actions."
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in Boston.
The Prestige,"After a tragic accident, two stage magicians engage in a bitter rivalry to create the ultimate illusion."
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an abusive instructor.
The Social Network,Harvard student Mark Zuckerberg creates the social networking site that would become Facebook.
Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
Inglourious Basterds,"In Nazi-occupied France, a group of Jewish U.S. soldiers plot to assassinate Nazi leaders."
Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Joker,"In Gotham City, a mentally troubled comedian embarks on a downward spiral that leads to the creation of an iconic villain."
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland."
Titanic,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the ill-fated R.M.S. Titanic.
Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion against English tyranny.
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stockbroker to his fall involving crime and corruption."
Shutter Island,A U.S. Marshal investigates the disappearance of a murderer from a hospital for the criminally insane.
Black Panther,T'Challa returns home to the African nation of Wakanda to take his rightful place as king.
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and takes a suitcase full of money.
La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love."
The Revenant,A frontiersman on a fur trading expedition fights for survival after being mauled by a bear and left for dead.
Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception reaches a boiling point."
Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
The Truman Show,An insurance salesman discovers his entire life is actually a reality TV show.
Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Up,An old man and a young boy fly to South America in a house lifted by balloons.
WALL-E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will decide the fate of mankind."
Inside Out,"After young Riley is uprooted from her Midwest life, her emotions conflict on how to navigate her new home."
Coco,"Aspiring musician Miguel enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Finding Nemo,"After his son is captured in the Great Barrier Reef, a timid clownfish sets out on a journey to bring him home."
"Monsters, Inc.","In order to power the city, monsters scare children. But things change when one girl enters their world."
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
Zootopia,"In a city of anthropomorphic animals, a bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice, she brings eternal winter."
Moana,"In Ancient Polynesia, a young girl answers the call of the ocean to save her people."
